canonicalId,name,description,module,path,install_to_bmad
"bmad-testarch-atdd","bmad-testarch-atdd","Generate failing acceptance tests using TDD cycle. Use when the user says ""lets write acceptance tests"" or ""I want to do ATDD""","tea","_bmad/tea/workflows/testarch/bmad-testarch-atdd/SKILL.md","true"
"bmad-testarch-automate","bmad-testarch-automate","Expand test automation coverage for codebase. Use when user says ""lets expand test coverage"" or ""I want to automate tests""","tea","_bmad/tea/workflows/testarch/bmad-testarch-automate/SKILL.md","true"
"bmad-testarch-ci","bmad-testarch-ci","Scaffold CI/CD quality pipeline with test execution. Use when the user says ""lets setup CI pipeline"" or ""I want to create quality gates""","tea","_bmad/tea/workflows/testarch/bmad-testarch-ci/SKILL.md","true"
"bmad-testarch-framework","bmad-testarch-framework","Initialize test framework with Playwright or Cypress. Use when the user says ""lets setup test framework"" or ""I want to initialize testing framework""","tea","_bmad/tea/workflows/testarch/bmad-testarch-framework/SKILL.md","true"
"bmad-testarch-nfr","bmad-testarch-nfr","Assess NFRs like performance security and reliability. Use when the user says ""lets assess NFRs"" or ""I want to evaluate non-functional requirements""","tea","_bmad/tea/workflows/testarch/bmad-testarch-nfr/SKILL.md","true"
"bmad-testarch-test-design","bmad-testarch-test-design","Create system-level or epic-level test plans. Use when the user says ""lets design test plan"" or ""I want to create test strategy""","tea","_bmad/tea/workflows/testarch/bmad-testarch-test-design/SKILL.md","true"
"bmad-testarch-test-review","bmad-testarch-test-review","Review test quality using best practices validation. Use when user says ""lets review tests"" or ""I want to evaluate test quality""","tea","_bmad/tea/workflows/testarch/bmad-testarch-test-review/SKILL.md","true"
"bmad-testarch-trace","bmad-testarch-trace","Generate traceability matrix and quality gate decision. Use when the user says ""lets create traceability matrix"" or ""I want to analyze test coverage""","tea","_bmad/tea/workflows/testarch/bmad-testarch-trace/SKILL.md","true"
"wds-agent-freya-ux","wds-agent-freya-ux","Strategic UX designer and design thinking partner for WDS. Use when the user asks to talk to Freya or requests the WDS designer.","wds","_bmad/wds/agents/wds-agent-freya-ux/SKILL.md","true"
"wds-agent-saga-analyst","wds-agent-saga-analyst","Strategic business analyst and product discovery partner for WDS. Use when the user asks to talk to Saga or requests the WDS analyst.","wds","_bmad/wds/agents/wds-agent-saga-analyst/SKILL.md","true"
"wds-0-alignment-signoff","wds-0-alignment-signoff","Create alignment around your idea before starting the project","wds","_bmad/wds/workflows/wds-0-alignment-signoff/SKILL.md","true"
"wds-0-project-setup","wds-0-project-setup","Project onboarding - determine project type, complexity, tech stack, and route to correct phase","wds","_bmad/wds/workflows/wds-0-project-setup/SKILL.md","true"
"wds-1-project-brief","wds-1-project-brief","Establish project context - foundation for all design work","wds","_bmad/wds/workflows/wds-1-project-brief/SKILL.md","true"
"wds-2-trigger-mapping","wds-2-trigger-mapping","Map business goals to user psychology through structured workshops","wds","_bmad/wds/workflows/wds-2-trigger-mapping/SKILL.md","true"
"wds-3-scenarios","wds-3-scenarios","Create UX scenario outlines from Trigger Map through structured micro-steps","wds","_bmad/wds/workflows/wds-3-scenarios/SKILL.md","true"
"wds-4-ux-design","wds-4-ux-design","Transform ideas into detailed visual specifications through scenario-driven design","wds","_bmad/wds/workflows/wds-4-ux-design/SKILL.md","true"
"wds-5-agentic-development","wds-5-agentic-development","AI-assisted development, testing, and reverse engineering through structured agent collaboration","wds","_bmad/wds/workflows/wds-5-agentic-development/SKILL.md","true"
"wds-6-asset-generation","wds-6-asset-generation","Generate visual and text assets from specifications through AI-powered creative production","wds","_bmad/wds/workflows/wds-6-asset-generation/SKILL.md","true"
"wds-7-design-system","wds-7-design-system","Create, import, browse, and maintain design system components and tokens","wds","_bmad/wds/workflows/wds-7-design-system/SKILL.md","true"
"wds-8-product-evolution","wds-8-product-evolution","Brownfield improvements — the full WDS pipeline in miniature for existing products","wds","_bmad/wds/workflows/wds-8-product-evolution/SKILL.md","true"
